sinhala_unicode,sinhala_romanized
වෙඩින් එකට අදින්නේ මොනවද කියලා හිතාගන්න බෑ.,wedding ekata adinne monawada kiyala hithaganna bah.
ඔහොම හිතන්න හිතන්න ඔයා ලෙඩ වෙන්න පුලුවන්.,ohoma hithanna hithanna oya leda wenna puluwan.
හොද දෙයක් කරොත් හොද දෙයක් ලැබෙනවා,hoda deyak karoth hoda deyak labenawa
ශ්‍රී ලංකාව ඉතා ලස්සන රටක්,sri laṅkava itha lassana raṭak
කොහොමද රස තේකක් හදන්නෙ?,kohomada rasa thekak hadanne?
දැන් බලන්න ඔය කවුරුවත් විශ්වාස  කරන්න බෑනෙ,dan balanna oya kawuruwath wishwasa karanna baane
ජරා වැඩ කරන්න එපා.,jara wada karanna epah.
අලුත් කඩයක් දාලා කොළබ යන්ද වෙලාවක?,aluth kadayak daala colaba yanda welawaka?
මම කැවුම් කන්න කැමතියි.,mama kawum kanna kamathi.
මේ බලන්න අර මහත කාලේ තිබුන ලස්සන නැහැ  දැන්,me balanna ara mahatha kale thibuna lassana nahane dan
වාවු මන් මෙච්චර කාලෙකට කියවල තියෙන ලස්සනම ට්‍රාන්ස්ලේෂන් සීරීස් එක.,wow mn mechchara kaalekata kiyawala thiyena lassanama translation series eka.
ඔයා ඒ ගැන මොනවද හිතන්නෙ?,oya a gana monawada hithanne?
එයා සතුටින් ඉන්නේ හැමතිස්සෙම,eya sathutin inne hamathissema
ඇයි මොකක් හරි අවුලකින්ද ඉන්නෙ?,ai mokak hari awulakinda inne?
එයා අහනවා අපි එනවද කියලා.,eya ahanawa api enawada kiyala.
ඔයාගේ මුරපදය මොකද්ද ?,oyalage password mokakda?
කාඩ් එක දාපු ගමන් රිසිප්ට් එකක් ඕනෙද අහනවා...ඔව් කිව්ව ගමන් කාඩ් එක එලියට එනවා...,card eka daapu gaman receipt ekak oneda ahanawa…ow kiwwa gaman card eka eliyata enawa…
එක එක කෙනාට එක එක මත තියෙනවා.,eka eka kenata eka eka matha thiyenawa.
එයා හැමතිස්සෙම භාගෙට වැඩේ ඉවර කරල දෙන්නෙ අනිත් ටික වෙන කවුරුහරි කරන්න ඕන,eya hamathissema bageta wade iwara karala denne anith tika wena kawruhari karanna ona
තෙල් කෑම අඩු කරන්න වෙනවා.,thel kaama adu karanna wenawa.
එයා තාම පොඩි තෙරුන් ගන්න අමාරුයි එයාට,eya thaama podi therun ganna amarui eyata
නැන්දා කොටුවෙන් බඩු ගන්න ගියා,nanda kotuwen badu ganna giya
අපි කට්ටිය යන්ද රැල්ල පාගලා එන්න,api kattiya yanda ralla pagala enna
සෑම මසකම පන්ති කාඩ්පත් එම කාලය තුලදී ම ලබාගන්න,saama masakama panti kaḍpath ema kaalaya thuladima labaganna
අද දවසට මෙ සින්දුව කීවෙනි පාරටද අහන්නෙ කියලා මතක නෑ,ada dawasata meh sinduwa keeweni paaratada ahanne kiyala mathaka na
අපි හැමෝම වැරදි කරන මිනිස්සු නේ.,api hamoma waradi karana minissu ne.
මම ඔයාව බස් ස්ටෑන්ඩ් එකෙන් බස්සන්නන්.,mama oyawa bus stand eken bassannan.
එයා ටික්ටෝක් එක පැත්තේ අන්තිමට ගිහිල්ලා තිබ්බේ,eya tiktok eka patte anthimata gihilla thibbe
ඉකමනටම සනීප වෙන්න. බුදු සරණයි,ikmanatama saneepa wenna. budusaranai
ඔයාගේ නංගි ඊයේ මේක ඔයාට දෙන්න කියලා කිව්වා,oyage nangi eeye meka oyata denna kiyala kiwwa
මන් එක පිරිසිඩදු කරාට වැඩක් නෑ ආයෙ හැඩි වෙනවා,mn eka pirisidu karata wadak nah aaye hadi wenawa
ක්මෙන්ට් එක අයින් කරලා නේද?,comment eka ain karala neda?
හොද කෙනෙක් එයා අපරාදේ එහෙම වෙච්ච එක,hoda kenek eya aparade ehema wechcha eka
මේ ශොප් එකේ බඩුවල කොලිටි එක හොදයි.,me shop eke baduwala quality eka hodai.
ඩොලර් එක අඩු වුනාට බඩු මිල අඩු නෑ.,dollar eka adu wunata badu mila adu na.
මේ තත්වෙ ගොඩක් සීරියස් වෙන්න පුලුවන්.,me thathwe godak serious wenna puluwan.
සූම් කෝල් එක පටන් ගත්තා,zoom call eka patan gatta
මට දුකයි ඔයා යන එක ගැන,matta dukai oya yana eka gana
සර් කිව්වා දැන් අප්ලෝඩ් කරන්න කියලා,sir kiwwa dan upload karanna kiyala
ජීවිතේ ගොඩක් දේවල් ඉගෙන ගත්තා.,jeewithe godak dewal igena gaththa.
ඒක නිසා තමයි මම එහෙම කිව්වේ.,eka nisa thamai mama ehema kiwwe.
කෑමට වැඩිය තියෙන්නේ මේකෙ බීම ජාති නෙ,kaamata wadiya thiyenne meke beema jathi ne
"පින්තුරෙට හරි කැතට පේන්නේ මාව, එඩිට් පාරක් දාලා හදන්නකො.","pinthureta hari kathata penne maawa, edit paarak daala hadannako."
මේ පාර යනකොට මැප් එක පාවිච්චි කරන්න.,me para yanakota map eka pawichchi karanna.
මන් ඕනවට වඩා හිතනවා ඒක කොහොම නවත්තගන්නද මන්දා,mn onawata wada hithanawa eka kohoma nawattagannada mnda
හිත හදාගන්න ටිකක් කල් යයි.,hitha hadaganna tikak kal yai.
අච්චිලා සීයලා ගොඩක් ආදරෙයි ළමයින්ට.,achchila seeyala godak adarei lamainta.
එයා පලතුරු ටික කනවා,eya palathuru tika kanawa
එය බස් එකෙන් කොළබට බැහැලා ත්‍රීවීල් එකෙන් ගෙදරට ගිහිල්ලා,eya bus eken colabata bahala threewheel eken gedaraṭa gihilla
ඇති යාන්තන් ගොඩ කාලෙකින් වීඩියෝ එකක් දැම්මේ,athi yanthan goda kalekin video ekak damme
මාත් ආසාවෙන් හිටියේ ඒත් වැඩිය කවුරුත් යන්නේ නැහැ ගොඩක් අලුත්ම අය ඉන්නේ,math asawen hitiye eth wadiya kawruth yanne naha godak aluthma aya inne
ඔයාගේ අදහස මරු අපි ඒක ගැන දවසක හම්බෙලා කතා කරමු,oyage adahasa maru api eka gana dawasaka hambela katha karamu
මේ පැත්තෙ ට්‍රැෆික් එක එපා වෙනවා.,meh patte traffic eka epa wenawa.
අද කරන්ට් කපනවා කිව්වා හැබැයි හොද වෙලාවට කැපුවෙ නෑ,ada current kapanawa kiwwa habai hoda welawata kapuwe nah
මගේ චාජර් එක හැමදාම අතුරු දහන් වෙනවා,mage charger eka hamadama athuru dahan wenawa
වෙබ් අඩවියක් නිර්මාණය කරන්න යන අය හැම කෙනෙක්ටම ඉතාම වැදගත් ලිපියක්,web adawiyak nirmanaya karanna yana aya hama kenektama ithama wadagath lipiyak
මම ඊයේ කාර්යාලයේ හිටියේ ලොක්කා මට කතා කරලා කිව්වා ඉකමනට වැඩේ කරලා ඕන කියලා,mama iye karyalaye hiṭiye lokka maṭa katha karala kivva ikmanaṭa vade karala ona kiyala
එහෙමයි බන් ලයිෆ් එක අපි බලාගන්න ඕනේ,ehemai bn life eka api balaganna one
මේ මටත් ඒ ලෙඩේ තියෙනවා මන් හිතුවෙ මට විතරයි කියලා එහෙම,meh matath a lede thiyenawa mn hithuwe mata witharai kiyala ehema
අදනන් ජිම් ගිහිල්ලා ඇගටත් අමාරුයි වගේ,adanan gym gihilla agatath amarui wage
පුතා මනසට ඉඩ දෙන්න එපා ඔයාව පාලනය කරන්න,putha manasata ida denna epa oyawa palanaya karanna
ඒක හිමින් සැරේ ඉවර කරගන්න බලන්න.,eka himin sare iwara karaganna balanna.
බලමු ඉස්සරහට මොන වෙයිද කියලා.,balamu issarahata mona weida kiyala.
මට ඒක දරාගන්න බැරි තරම් දුකයි.,matta eka daraganna bari tharam dukai.
දැනට ස්කිප් කරා බන් ඒ මෙසේජ් එක,danaṭa skip kara bn a message eka
එයා හරියටම මගේ ටයිප් එක,eya hariyatama mage type eka
දැන් මම ගෙදර යනවා,dan mama gedara yanawa
මේ පහනට වොරන්ටි එකක් තියෙනවද?,me pahanata warranty ekak thiyenawada?
එයා පරිප්පු හදනවා.,eya parippu hadanawa.
අපේ රෑ කෑම එක කලින් ඕඩ කරලා දාන්න,ape ra kaama eka kalin order karala danna
හෙට සදුදා නේද අය්යෝ මට නන් බෑ යන්න,heta saduda neda aio mata nan bah yanna
ගොඩක් කාලේකට පස්සේ මන් හිතන්නේ මේ වගේ කතාවක් ආයෙත් එන්නේ,godak kalekata passe mn hithanne meh wage kathawak ayeth yanne
හිත හොදින් තියාගන්න එක වටිනවා.,hitha hodin thiyaganna eka watinawa.
ඔයා මේ සබ්ජෙක්ට් එකට ගොඩක් දක්ෂයි.,oya meh subject ekata godak dakshai.
මේ මෙසේජ් එක අනිත් අයත් එක්ක ශෙයා කරන්න.,meh message eka anith ayath ekka share karanna.
ඒක ඉතිහාසයේ ලියවෙන දවසක් වෙයි.,eka ithihasaye liyawena dawasak wei.
දැක්කද කට්ටිය එකට ක්මෙන්ට් කරලා තිබ්බ විදිහ,dakkada kattiya ekata comment karala thibba widiha
සතියෙන් මට සල්ලි ටික දෙන්න.,sathiyen matta salli tika denna.
රෙදි ටික හෝදලද තියෙන්නේ,redi tika hodalada thiyenne
දැන් අප්ඩේට් එකක් තියෙනවා ඇප් එකේ,dan update ekak thiyenawa app eke
පොත් ටික ඔයා කියෙව්වද?,poth tika oya kiyewwada?
එයා දැන් මල වදයක් වෙන්න යන්නෙ,eya dan mala wadayak wenna yanne
එයාට ලොගින් වෙන්න පුලුවන් නේද?,eyaṭa login wenna puluwan neda?
ඕගොල්ලො සීගිරිය බලන්න ගියාද?,ogollo sigiriya balanna giyada?
ඒ පාරෙන් ඉක්මනට යන්න පුළුවන්.,a paren ikmanata yanna puluwan.
මම ඔයාව පික් කරන්න එන්නම්.,mama oyawa pick karanna ennam.
අනේ මගේ අතේ පොත් සෙට් එකම තියෙයි හරිම ලස්සන කතාවක්,ane mage athe poth set ekama thiyei harima lassana kathawak
ඊයේ නන් මට හොදටම නින්ද ගියා. පරක්කු වෙලානේ ගෙදර ආවේ.,eeye nan matta hodatama ninda giya. parakku welane gedara awe.
"ඒකනන් මාර නාට්‍යක්, අනිවාර්යෙන් බලන්න.","eka nam maara natyak, aniwaryen balanna."
ඒක නම් පට්ට වැඩක් මචං.,eka nm patta wadak machn.
මේක ටීම් එෆට් එකෙන් කරපු වැඩක්.,meka team effort eken karapu wadak.
හරියට බලන්න කොච්චරක් දුන්නද කියලා,hariyata balanna kochcharak dunnada kiyala
අනේ මන්දා සෙනසුරාදා ඉරිදා පියාබනවා වගේ,aneh mnda senasurada irida piyabanawa wage
සීට් එකක් හොයාගන්න බැරි උනා.,seat ekak hoyaganna bari una.
අපි ඉස්සර හරියට කතා කරා,api issara hariyata katha kara
කියන්නකෝ රිසල්ට්ස් කොහොමද?,kiyannako results kohomada?
මොනවා කරන්නද බන් දැන් මේ තත්වෙත් එක්ක,monawa karannada bn dan meh thathweth ekka
වරදක් නැහැ ඉන්නවා. ඔයාලා වගේ හොදට හිටපු අය මතක් වෙනවා. හරිම සතුටුයි,waradak naha innava. oyala wage hodaṭa hiṭapu aya mathak wenava. harima sathutui
මන් හිතන්නේ මගේ ආසම රට එහෙ වෙයි මොකද මන් ගොඩක් ආසයි එහෙට,mn hithanne mage aasama rata ehe wei mokada mn godak aasai eheta
බීච් සයිඩ් රෙස්ටොරන්ට් එකකට යමු.,beach side restaurant ekakata yamu.
දැනට යන්නෙ බස් එකක නැති වුනොත් ට්‍රේන් එකේ යනවා,danaṭa yanne bus ekaka nathi wunoth train eke yanawa
ඩොක්ටර් කෙනෙක් හමු උනත් ප්‍රශ්නයක් නැති බවට දැනගැනීමට ලැබුනා.,doctor kenek hamu unath prashnayak nathi bawa danaganimata labuna.
පාර වහලා තිබුනෙ.,paara wahala thibune.
එයා කිව්ව නම් ඔයාට එන්න කියලා එහෙනන් යන්න,eya kiwwa nm oyata enna kiyala ehenan yanna
මන් අද පූසෙක් ගත්තා නංගිට දෙන්න,mn ada pusek gatta nangita denna
දැක්කද එයා අලුතෙන් කඩයක් ඇරලා ඕගොල්ලොන්ගේ ගෙවල් ගාව,dakkada eya aluthen kadayak arala ogollonge gewal gaawa
වැඩක් නෑ කියලා හිතුවට වැඩක් තියෙනවා,vadak na kiyala hithuwata vadak thiyenawa
ඩිස්කවුන්ට් එකක් දෙන්න බැරි වෙයිද?,discount ekak denna bari weida?
වැස්ස දවස් වලට නැගිටින්නත් කම්මැලි,wassa dawas walata nagitinnath kammeli
"හීන ගොඩක් තියෙනවා ඉතින්, බලමුකො ඉස්සරහට","heena godak thiyenawa ithin, balamuko issarahata"
මන් ළගදි ටැටූ එකක් ගහගත්තා,mn lagadi tattoo ekak gahagatta
මේ රස්නෙට මොනවත් කරන්න හිතෙන්නෙ නෑ.,me rasneta monawath karanna hithenne na.
පාටි එක හරිම ෆන් වුනානේ.,party eka harima fun wunane.
ගෙදර යනකොට පාන් ටිකක් අරන් යන්න ඕනේ.,gedara yanakota paan tikak aran yanna one.
මට එයා එවපු ඊමේල් එක හොයාගන්න වෙනවා,matta eya ewapu email eka hoyaganna wenawa
"මොකද්ද බන් මේ, ඇයි මේවා මටම වෙන්නෙ.","mokadda bn meh, ai mewa matama wenne."
ඔයා කතා කරපු විදිහ හරිම හොදයි.,oya katha karapu widiha harima hodai.
ෆෝන් එකේ බැට්රි නැහැ කොයි වෙලාවෙත්,phone eke battery naha koi welaweth
එක වැඩක් නිසා මගේ මුළු දවසම ඉවරයි,eka wadak nissa mage mulu dawasama iwarai
හෙට හවස අපි සෙට් වෙමුද?,heta hawasa api set wemuda?
සතියක්ම ඉවර උනා දැනුනෙවත් නෑ.,sathiyakma iwara una danunewath na.
හෙට එනකොට අර බෑග් එක අරන් එන්න,hetta enakota ara bag eka aran enna
අය්යා කෙනෙක් වගේ මට උදවු කරා.,ayya kenek wage mata udawu kara.
ඇත්තටම කියන්න අද දවසටම ඔයා මුකුත් කෑවේ නෑ නේද,attama kiyanna ada dawasatama oya mukuth kaawe na neda
ඩිලිවරි ෆී එක දැන් ගොඩක් වැඩි.,delivery fee eka dn godak wadi.
රිපෝට් එක තවම හදලා ඉවර නෑ.,report eka thawama hadala iwara nah.
ජාතික හැදනුම්පත සහ රියදුරු බලපත්‍රය රැගෙන එන්න,jathika hadanumpatha saha riyaduru balapatraya ragena enna
කියපන් බන් කවුද මේ වැඩේ කරේ කියලා,kiyapan bn kawuda meh wade kare kiyala
අපේ ගෙදර හදන ගමන් හැබැයි කවදා ඉවර වෙයිද දන්නේ නැහැ,ape gedara hadana gaman habai kawada ivara weida danne naha
"අවුලක් ගන්න එපා, අපි ශේප් කරගමු.","awulak ganna epa, api shape karagamu."
මේ වීකෙන්ඩ් එකට මොනවද ප්ලෑන්?,meh weekend ekata monawada plan?
යන්නේ නැතුව ඉන්න බලුවේ,yanne nathuwa inna baluwe
"අය්යෝ, ඔයා නිසා තමයි පරක්කු උනේ","aiyo, oya nissa thamai parakku une."
මේ ඇදුම ඔයාට හරියටම ගැළපෙනවා.,me aduma oyata hariyatama galapenawa.
එයා ලයිව් වීඩියෝ එකක් දාලා තිබුනා.,eya live video ekak daala thibuna.
අපි චීස් කොත්තු එකක් කන්න යමුද?,api cheese kottu ekak kanna yamuda?
අද දිනයේ පන්ති පැවැත්වේ,ada dinaye panthi pavathwe
ඔයාට පුලුවන්නන් තැන් දෙක තුනක බලන්න ඊටපස්සෙ තීරණයක් ගන්න,oyata puluwannan than deka thunaka balanna eetapasse theeranayak ganna
අලුත් බජට් එකෙන් මොනවා වෙයිද දන්නේ නෑ.,aluth budget eken monawa weida danne na.
මන් ඉන්නෙ ගොඩක් දුර ඒ නිසා ළග බෝඩිමක් දන්නවද,mn inne godak dura a nissa laga bodimak dannawada
හොදට බලපන් බන් නිව්ස් එක,hodata balapan bn news eka
එයා කිව්ව එක ඇත්ත වෙන්න පුලුවන්.,eya kiwwa eka aththa wenna puluwan.
එයා දැන් ටික්ටොක් වල හරිම ෆේමස්.,eya dan tiktok wala harima famous.
හැමෝම මේක බලන්න...අපි කතා වුනා විතරයි නේ එක ගැන,hamoma meka balanna...api katha wuna witharai neh eka gana
එයා කතා කරපු විදිහට මට අප්සට් ගියා.,eya katha karapu widihata mata upset giya.
ට්‍රේන් එක ප්ලැට්ෆෝම් එකට ඇවිල්ලද?,train eka platform ekata awilla da?
මන් කෝච්චිය එනකන් කොළ කැද එකක් බොනවා,mn kochiya enakan kola kada ekak bonawa
පළවෙනි වතාවට මන් ප්ලේන් එකේ යන්නේ,palaweni wathawata mn plane eke yanne
ඔයා දැන් කලින් වගේ නෙමෙයි ගොඩක් වෙනස් වෙලා,oya dan kalin wage nemei godak wenas wela
හෙට ඉදලා ව්‍යායාම කරන්න පටන් ගන්නවා.,heta idala wiyayama karanna patan gannawa.
ඔව් මචං! මොකක් ද ෆිල්ම් එක?,ow machn! mokak da film eka?
"මාර බඩගින්නක් අප්පා තියෙන්නේ, කොහෙ හරි යමුද අද.","mara badaginnak appah thiyenne, kohe hari yamuda ada."
ගෘප් එකට මාව ඇඩ් කරන්න.,group ekata mawa add karanna.
මේ අවුරුද්ද නන් ඉක්මනට යනවා වගේ,meh awurudda nan ikmanata yanawa wage
මෙයා ඔයාගේ යලුවෙක්ද?,meya oyage yaluwekda?
මගේ වැඩේ ක්න්ෆ්ර්ම් වෙනකන් මන් බැලුවේ වෙන වැඩක් පටන් ගන්න,mage wade confirm wenakan mn baluwe wena wadak patan ganna
පන්තිභාර ගුරුතුමියට කියන්න පුලුවන්ද මේ දුරකථන අංකය ක්‍රියා විරහිත බව,panthibara guruthumiyata kiyanna puluwanda me durakathana ankaya kriya wirahitha bawa
ඕඩර් එක එන්නෙ නෑ වගේ,order eka enne na wage
මන් නිදිමත ආව ගමන්  මේසෙට ඔලුව තියාගන්නවා,mn nidimatha awa gaman meseta oluwa thiyagannawa
අපි ඇල්ල වල ලස්සන තැන් බලන්න ගියා.,api ella wala lassana than balanna giya.
දොස්තර කිව්වා බේත් ටික හරියට ගන්න කියලා,dosthara kiwwa beth tika hariyata ganna kiyala
මම හැමදාම දවස පටන් ගන්නේ මේක අහලා.,mama hamadama dawasa patan ganne meka ahala.
මේ නිව්ස් එක බොරු වෙන්න ඉඩක් තියෙනවා.,me news eka boru wenna idak thiyenawa.
එයා නැටුම් ඉගෙන ගන්න කැමති,eya natum igana ganna kamathi
මේ දවල් වෙලා ඒ පැත්තේ ගිහින් එමුද.,me dawal wela a patte gihin emuda.
"ගොඩ කාලෙකින් දැක්කේ, මොනවද අලුත් තොරතුරු?","goda kalekin dakke, monawada aluth thorathuru?"
තම මතකයි නේ ඒවා,thama mathakai ne ewa
වතාවට දැන් හිතෙනවා ඒක තෝරගත්ත එක හොදයි කියලා,dan hithenawa eka thoragatta eka hodai kiyala
දැන් වීඩියෝ එක එඩිට් කරන්න පටන් ගන්න,dan video eka edit karanna patan ganna
මේ අපි එයාව පුදුම කරමුද එයාගේ බ්ත්ඩේ එක දවසට,meh api eyawa puduma karamuda eyage birthday eka dawasata
ටිකක් රිලැක්ස් වෙන්න ඕනේ මචං.,tikak relax wenna one machn.
"බස් එක පිරිලා, හිර වෙලා යන්න වෙන්නේ.","bus eka pirila, hira wela yanna wenne."
ආවුරුදු ගානක් ආපස්සට අරන් ගියා,avurudu ganak apassaṭa aran giya
අද අපි එළියෙන් කෑම ගෙනල්ලා කෑවා,ada api eliyen kaama genalla kaawa
සූම් කෝල් එකේ මියුට් කරන්න අමතක වුනා,zoom call eke mute karanna amathaka wuna
අපේ වයසේ අය විතරයි නේ එන්නේ ?,ape wayase aya witharai ne enne?
ගෙදර ඉදන් වැඩ කරන එක ලේසී වගේ,gedara idan wada karana eka lesi wage
සුෂී කන්න ආසාවක් ආවා යන්ද කන්න,sushi kanna asawak awa yanda kanna
එයා එන්න කලින් වැඩේ ඉවර කරමු.,eya enna kalin wade iwara karamu.
ඉක්මනට ඒක කරලා දෙන්න ඕන නැත්තන් කරගන්න බැරිවෙයි,ikmanata eka karala denna ona nattan karaganna bariwei
ඒක හරි ගියා නේද මන් කිව්වේ,eka hari giya neda mn kiwwe
බන් ස්ටෝරි එක හිතපු තරම් ලස්සන නෑ,bn story eka hithapu tharam lassana na
ඒක නම් හරිම අපරාදයක් නේද?,eka nm harima aparadayak neda?
කට්ටියත් එක්ක රවුමක් ගහන්න යන්ද මේ සෙනසුරාදා,kattiyath ekka rawumak gahanna yanda meh senasurada
මේක අපි දෙන්නා අතරේ විතරක් තියාගමු.,meka api denna athare witharak thiyagamu.
මම දැන් ගොඩක් ආසාවෙන් ඉන්නෙ මේක කරන්න,mama dan godak asawen inne meka karanna
මන් දැන් ඒක දහ සැරයකටත් වඩා බැලුවා,mn dan eka daha sarayakatath wada baluwa
කලින් කිව්වනෙ මන් ඔයාට,kalin kiwwane mn oyata
දේශපාලනය ගැන දැන් ලොකුවට කතා වෙන්නේ නෑ නේද,deshapalanaya gana dan lokuwata katha wenne na neda
කිරිබත් තමයි හොදම.,kiribath thamai hodama.
බලාගෙන පොලීසිය ඉන්නවා ඉස්සරහින්.,balagena policiya innawa issarahin.
මගේ තරහට මොනවා කියවුනාද දන්නේ නෑ.,mage tharahata monawa kiyawunada danne na.
එයා ගොඩක් වෙලාවට ඔන්ලයින් ඉන්නවා.,eya godak welawata online innawa.
ඔයා ළග ඉන්නකොට මට සැනසීමක් දැනෙනවා.,oya laga innakota mata sanaseemak danenawa.
එයා මගේ හිත බිදලා ගියා.,eya mage hitha bidala giya.
මගේ නංගිගේ වෙඩින් එක ළගයි.,mage nangi ge wedding eka lagai.
කොහෙද නවතින්න හොද තැනක් තියෙන්නෙ?,koheda nawathinna hoda thanak thiyenne?
එක සතියයි ගියෙ හැබැයි දැන් හොදටම කරනවා වැඩ,eka sathiyai giye habai dan hodatama karanwa wada
ඒක දැක්කොත් ඔයා බය වෙනවා.,eka dakkoth oya baya wenawa.
දැනට එහෙම ලොකු සම්බන්ධයක් නෑ වගේ,danaṭa ehema loku sambandayak na wage
ඒකෙ අනිත් පැත්ත ගන හිතුවේ නැද්ද?,eke anith paththa gana hithuwe nadda?
මේක නම් බොරුවක් වගේ මට පෙන්නේ.,meka nm boruwak wage matta penne.
මේ පාර එක්සෑම් එක ලේසි උනේ නෑ.,meh para exam eka lesi une na.
ජොබ් එක දැන් ගෙදර ඉදන්මද කරන්නේ?,job eka dan gedara idanmada karanne?
වැඩ ඉවර වෙලා කෝල් එකක් දෙන්නම්.,wada iwara wela call ekak dennam.
අනේ චූටි පැටියා ඇත්තටම හරිම හුරතල් අප්පා,ane chuti patiya aththatama harima hurathal appa
මට රස්සාව හම්බුනා,matta rassawa hambuna
"මම ගියා බෑන්ක් එකට, අම්මෝ පෝලිමේ දිග","mama giya bank ekata, ammoh polime diga"
බයික් එක පොඩ්ඩක් පැත්තකට කරන්න.,bike eka poddak paththakata karanna.
මොකද්ද ඒ ඩ්‍රාමා එකේ නම,mokadda a drama eke nama
මම දැනටමත් ලන්ච් එක කාලා ඉවරයි.,mama danatamath lunch eka kala iwarai.
අපේ ගෙදර අයත් ඔයාව මතක් කරා.,ape gedara ayath oyawa mathak kara.
ඊට කලින් බස් එක මිස් උනා.,eeta kalin bus eka miss una.
බෙහෙත් ටික වෙලාවට බොන්න ඕනේ.,beheth tika welawata bonna one.
එයා ගානේ අද පාටියක්ලු.,eya gaane ada partyaklu
මම ඒ ෆිල්ම් එකට ගොඩක් ආස උනා.,mama a film ekata godak asa una.
